Total Visits,Unique Visitors,Avg Session Duration,Bounce Rate,Journeys Per Session,Avg Time on Journey,Most Visited Journey,Journey Steps,Time on Step,Conversion Rate,Lead Conversion Rate,Document Downloads,Purchases,Feedback Score,Search Query Frequency,Search Result CTR,Social Shares,Page Load Time,Error Rates,User Demographics,Behavioral Segment,Date
890,965,7.88,25.8,5,4.29,Inventory Check,car-configurator.start,1.92,9.73,1.91,77,9,3.7,car pricing,26.33,98,1.44,0.05,"35-44, Female",Returning Visitor,2023-01-22
848,1136,9.65,23.0,5,4.76,Car Configurator,brandportal.skoda-model-1,4.08,2.13,1.6,116,10,4.5,car pricing,38.83,75,2.2,0.08,"25-34, Male",Frequent Buyer,2023-01-03
1472,781,5.33,22.16,1,4.83,Inventory Check,dealer-search.finish,2.32,4.81,2.43,151,25,3.8,new car models,41.72,65,3.58,0.07,"25-34, Male",New Visitor,2023-01-21
1027,779,6.89,30.39,1,4.1,Car Configurator,brandportal.skoda-model-1,2.8,3.28,0.96,174,9,4.3,dealership locations,33.68,61,1.93,0.01,"35-44, Female",Frequent Buyer,2023-01-05
1260,1114,7.83,56.79,4,2.81,Car Configurator,inventory-check.skoda-model-1,3.58,9.21,1.29,174,28,4.6,car pricing,46.46,98,2.37,0.06,"25-34, Male",Returning Visitor,2023-01-17
1071,898,3.52,50.13,3,4.32,Car Configurator,dealer-search.finish,1.46,8.69,4.09,128,19,4.3,new car models,38.49,83,2.86,0.06,"25-34, Male",Frequent Buyer,2023-01-02
938,1093,8.41,53.52,3,1.45,Car Configurator,dealer-search.dealer-1,3.56,4.26,2.27,91,9,3.9,car pricing,46.71,54,3.34,0.06,"35-44, Female",Frequent Buyer,2023-01-03
937,1066,5.83,47.74,1,4.24,Inventory Check,brandportal.finish,4.98,1.87,3.94,176,22,4.5,car pricing,30.42,63,1.46,0.06,"18-24, Female",Frequent Buyer,2023-01-19
897,830,7.07,25.08,3,3.63,Inventory Check,car-configurator.start,2.08,2.88,3.86,158,26,4.6,dealership locations,45.72,69,2.74,0.02,"35-44, Female",Frequent Buyer,2023-01-29
995,821,4.31,65.86,4,1.88,Dealer Search,car-configurator.start,1.17,8.54,1.92,93,11,3.8,dealership locations,27.0,66,3.08,0.08,"35-44, Female",New Visitor,2023-01-04
1129,1124,9.18,52.16,5,3.45,Brandportal,car-configurator.start,3.74,6.01,1.94,195,30,3.5,dealership locations,32.91,67,2.01,0.04,"18-24, Female",Returning Visitor,2023-01-18
1458,957,7.54,44.5,4,1.84,Car Configurator,inventory-check.booking,2.19,6.55,3.97,131,20,4.4,car pricing,47.27,97,2.92,0.05,"25-34, Male",Frequent Buyer,2023-01-19
1141,732,8.17,36.83,4,3.05,Inventory Check,dealer-search.finish,1.96,2.4,0.57,192,23,3.5,dealership locations,38.65,97,3.14,0.02,"35-44, Female",Returning Visitor,2023-01-26
1143,1179,6.75,25.15,5,4.51,Dealer Search,car-configurator.start,4.23,5.71,1.19,141,8,4.6,dealership locations,29.35,43,2.34,0.04,"35-44, Female",Frequent Buyer,2023-01-12
1127,912,7.64,51.81,5,3.63,Brandportal,dealer-search.dealer-1,1.33,1.93,0.9,109,6,3.6,car pricing,43.96,68,1.48,0.05,"35-44, Female",Frequent Buyer,2023-01-04
828,1160,4.08,44.7,3,4.27,Brandportal,inventory-check.skoda-model-2,1.23,3.69,2.31,110,6,4.3,new car models,22.51,65,3.35,0.04,"18-24, Female",New Visitor,2023-01-16
1274,877,9.33,34.35,2,1.28,Inventory Check,dealer-search.finish,4.63,8.97,2.46,57,7,4.4,dealership locations,22.81,74,1.46,0.03,"35-44, Female",Frequent Buyer,2023-01-26
1012,1198,3.18,44.45,2,2.2,Inventory Check,dealer-search.finish,1.56,4.76,4.94,114,22,3.1,car pricing,45.1,92,2.76,0.1,"35-44, Female",New Visitor,2023-01-06
1290,980,8.74,20.74,3,4.81,Car Configurator,dealer-search.dealer-2,3.68,7.56,1.12,89,13,4.3,car pricing,44.55,100,2.42,0.02,"25-34, Male",Returning Visitor,2023-01-11
943,969,4.63,29.31,5,4.2,Dealer Search,dealer-search.finish,1.16,6.83,1.0,71,25,3.7,dealership locations,47.83,58,3.1,0.03,"18-24, Female",New Visitor,2023-01-13
900,1197,3.33,26.54,5,4.53,Car Configurator,brandportal.skoda-model-2,3.7,5.69,3.27,169,18,4.8,dealership locations,33.35,93,1.07,0.02,"25-34, Male",Returning Visitor,2023-01-14
979,1174,3.13,60.14,4,2.67,Car Configurator,car-configurator.step-1,2.44,9.45,2.18,183,12,4.1,dealership locations,35.43,67,2.42,0.08,"25-34, Male",New Visitor,2023-01-18
1387,915,6.23,41.3,5,1.9,Inventory Check,inventory-check.booking,3.24,3.66,4.43,139,19,3.6,car pricing,39.14,94,1.26,0.06,"18-24, Female",Frequent Buyer,2023-01-27
1062,860,4.82,37.32,1,1.83,Car Configurator,inventory-check.booking,2.63,9.17,3.74,60,9,3.0,dealership locations,42.28,94,2.36,0.1,"18-24, Female",New Visitor,2023-01-24
958,967,5.82,20.54,1,4.6,Brandportal,dealer-search.dealer-2,4.7,5.74,2.83,166,5,4.2,new car models,23.38,40,1.62,0.08,"18-24, Female",Frequent Buyer,2023-01-21
953,873,3.88,33.2,5,1.78,Car Configurator,inventory-check.skoda-model-1,4.75,8.37,1.14,153,11,3.6,new car models,33.29,95,1.99,0.07,"18-24, Female",Frequent Buyer,2023-01-16
958,1041,4.27,45.46,4,1.3,Car Configurator,dealer-search.dealer-1,3.86,3.79,4.92,127,5,3.6,dealership locations,32.51,96,1.11,0.03,"35-44, Female",New Visitor,2023-01-19
888,1146,5.48,52.57,1,4.22,Brandportal,dealer-search.finish,3.65,8.92,3.37,147,11,3.5,dealership locations,22.43,40,1.07,0.01,"35-44, Female",New Visitor,2023-01-22
990,1049,6.39,35.63,1,4.97,Brandportal,inventory-check.booking,1.88,5.71,1.38,170,20,3.9,car pricing,31.28,85,3.96,0.02,"35-44, Female",Frequent Buyer,2023-01-10
1308,820,5.45,64.98,3,3.06,Inventory Check,dealer-search.finish,2.35,6.81,4.94,157,14,4.2,dealership locations,46.99,98,3.85,0.04,"25-34, Male",New Visitor,2023-01-15
1349,1129,4.25,65.7,5,2.65,Inventory Check,brandportal.skoda-model-2,1.99,8.57,3.47,100,15,3.7,dealership locations,27.22,85,2.33,0.08,"25-34, Male",New Visitor,2023-01-13
1027,750,8.23,34.09,2,4.22,Brandportal,car-configurator.step-2,2.2,5.61,4.9,50,22,3.5,dealership locations,31.23,100,1.65,0.05,"35-44, Female",Returning Visitor,2023-01-19
955,1086,5.83,23.31,4,3.54,Inventory Check,dealer-search.finish,3.49,5.4,2.96,121,11,3.4,dealership locations,24.26,72,2.25,0.09,"18-24, Female",Frequent Buyer,2023-01-22
1247,969,4.6,55.08,5,2.59,Inventory Check,dealer-search.finish,1.57,5.61,4.89,85,13,3.5,car pricing,33.52,42,2.57,0.08,"25-34, Male",Returning Visitor,2023-01-18
1150,963,6.03,32.54,4,1.0,Car Configurator,dealer-search.finish,4.75,8.15,2.42,50,10,3.3,car pricing,47.83,94,3.73,0.04,"35-44, Female",Frequent Buyer,2023-01-13
1366,770,6.01,49.37,3,2.54,Brandportal,dealer-search.dealer-2,4.51,2.68,0.8,166,11,4.6,car pricing,39.38,83,1.82,0.1,"35-44, Female",Returning Visitor,2023-01-21
1398,1025,6.45,47.64,3,3.92,Brandportal,dealer-search.dealer-2,3.56,5.82,2.02,92,10,4.5,dealership locations,20.01,82,3.71,0.06,"18-24, Female",Returning Visitor,2023-01-20
1102,870,9.2,40.62,5,1.26,Inventory Check,inventory-check.skoda-model-1,3.81,3.23,1.73,168,6,4.7,car pricing,39.99,68,3.61,0.09,"18-24, Female",Frequent Buyer,2023-01-23
1498,1130,3.82,61.92,5,4.01,Dealer Search,brandportal.skoda-model-2,2.88,8.14,2.78,81,14,4.9,new car models,43.79,89,2.25,0.08,"35-44, Female",Frequent Buyer,2023-01-03
1178,1055,7.41,29.63,5,2.6,Dealer Search,brandportal.finish,3.43,3.87,1.83,135,29,3.9,new car models,21.14,50,3.8,0.07,"18-24, Female",Frequent Buyer,2023-01-14
842,958,6.46,55.41,1,4.22,Dealer Search,car-configurator.finish,3.09,6.37,1.65,186,20,4.7,dealership locations,26.68,58,2.39,0.03,"25-34, Male",Returning Visitor,2023-01-15
1265,1107,7.14,37.04,2,2.14,Dealer Search,dealer-search.finish,2.89,1.38,0.69,81,30,4.7,new car models,36.9,76,1.13,0.06,"18-24, Female",Frequent Buyer,2023-01-10
1014,937,9.41,65.85,4,1.38,Car Configurator,brandportal.skoda-model-2,1.23,5.23,4.51,96,21,4.6,dealership locations,26.58,90,2.62,0.04,"35-44, Female",Returning Visitor,2023-01-29
1219,1161,9.55,54.27,2,3.69,Inventory Check,brandportal.skoda-model-1,2.52,4.79,2.09,186,21,3.0,new car models,47.62,49,3.54,0.05,"35-44, Female",Frequent Buyer,2023-01-23
875,1131,4.74,20.81,2,4.81,Car Configurator,brandportal.finish,4.11,6.83,2.9,159,28,4.7,dealership locations,28.65,88,2.75,0.02,"18-24, Female",Frequent Buyer,2023-01-09
1126,823,5.73,51.1,5,3.98,Dealer Search,car-configurator.start,4.45,8.46,2.05,194,26,3.8,new car models,36.85,65,2.96,0.02,"25-34, Male",Returning Visitor,2023-01-06
1385,912,5.89,53.29,2,1.51,Brandportal,car-configurator.step-1,1.01,6.3,1.43,127,11,4.2,car pricing,30.82,75,3.63,0.01,"18-24, Female",Returning Visitor,2023-01-21
1414,1044,7.94,29.1,3,4.31,Inventory Check,inventory-check.skoda-model-2,1.62,4.89,3.69,155,15,4.4,car pricing,32.8,57,2.76,0.08,"25-34, Male",Returning Visitor,2023-01-17
1089,965,8.81,38.82,3,4.04,Car Configurator,dealer-search.dealer-2,1.99,6.43,2.06,110,19,4.6,new car models,25.31,83,3.51,0.09,"35-44, Female",New Visitor,2023-01-23
1343,722,4.53,44.31,1,3.82,Brandportal,brandportal.skoda-model-2,1.91,1.91,2.9,107,17,4.8,car pricing,39.88,45,2.89,0.09,"25-34, Male",Returning Visitor,2023-01-11
1323,1188,7.8,20.69,1,1.26,Dealer Search,inventory-check.booking,2.14,9.62,1.15,187,12,4.9,car pricing,20.4,87,1.54,0.06,"25-34, Male",Frequent Buyer,2023-01-08
1216,1072,4.48,37.12,2,2.93,Car Configurator,brandportal.finish,1.79,6.88,1.62,174,29,3.9,car pricing,20.14,77,1.43,0.05,"25-34, Male",Returning Visitor,2023-01-08
1089,707,6.38,39.13,4,1.24,Inventory Check,dealer-search.dealer-1,3.87,3.49,2.83,198,27,4.2,car pricing,40.87,68,1.15,0.09,"18-24, Female",Frequent Buyer,2023-01-16
871,1167,9.21,21.78,3,1.31,Car Configurator,car-configurator.step-1,1.79,2.7,3.29,148,28,3.2,car pricing,41.34,71,3.71,0.1,"25-34, Male",New Visitor,2023-01-05
1251,919,3.57,41.17,5,2.9,Inventory Check,dealer-search.finish,2.11,6.93,2.75,125,12,3.6,new car models,25.1,63,2.36,0.02,"35-44, Female",Frequent Buyer,2023-01-19
1243,751,8.9,61.37,5,2.52,Inventory Check,car-configurator.finish,4.63,7.07,1.78,174,15,3.2,new car models,45.25,85,3.86,0.08,"18-24, Female",Frequent Buyer,2023-01-22
1341,1126,7.6,50.95,3,4.71,Inventory Check,brandportal.finish,3.71,2.51,1.89,80,26,4.3,new car models,38.32,40,1.64,0.09,"25-34, Male",New Visitor,2023-01-06
976,974,7.68,31.81,2,4.24,Inventory Check,car-configurator.finish,1.9,9.8,4.67,62,27,3.7,car pricing,49.74,86,2.26,0.1,"25-34, Male",Returning Visitor,2023-01-02
823,964,9.63,47.01,2,1.66,Dealer Search,car-configurator.step-1,1.47,6.5,1.93,123,26,4.5,car pricing,40.66,46,3.46,0.09,"18-24, Female",New Visitor,2023-01-03
1452,929,8.48,47.74,3,1.01,Brandportal,brandportal.finish,3.41,8.14,4.97,171,28,3.8,car pricing,34.69,52,1.83,0.03,"18-24, Female",Returning Visitor,2023-01-19
1017,898,4.2,61.0,4,3.29,Brandportal,car-configurator.step-1,4.88,8.9,1.06,175,19,4.0,new car models,25.8,60,3.31,0.09,"18-24, Female",New Visitor,2023-01-08
1044,1188,8.95,53.17,2,3.17,Inventory Check,car-configurator.finish,2.45,3.38,4.25,159,22,4.3,dealership locations,42.51,41,1.76,0.1,"25-34, Male",Frequent Buyer,2023-01-05
1268,991,3.1,27.78,2,4.84,Brandportal,brandportal.skoda-model-2,4.35,5.92,2.19,137,15,4.1,new car models,33.47,56,2.16,0.04,"18-24, Female",New Visitor,2023-01-19
1220,816,5.37,56.49,3,3.18,Inventory Check,inventory-check.skoda-model-2,3.78,1.31,1.56,81,30,3.8,new car models,23.38,62,1.29,0.04,"25-34, Male",New Visitor,2023-01-25
1264,795,7.25,26.18,5,1.84,Inventory Check,inventory-check.skoda-model-1,4.25,7.49,4.39,80,25,3.9,dealership locations,41.99,76,3.15,0.08,"25-34, Male",Frequent Buyer,2023-01-04
972,911,9.14,55.71,4,3.0,Dealer Search,car-configurator.finish,4.92,1.88,1.59,93,29,3.1,car pricing,33.61,86,1.1,0.02,"25-34, Male",New Visitor,2023-01-11
1144,913,4.88,39.28,1,2.01,Dealer Search,car-configurator.start,1.63,1.11,1.45,158,10,4.6,dealership locations,38.86,80,2.0,0.08,"25-34, Male",Returning Visitor,2023-01-01
1061,1025,7.25,57.97,1,2.18,Dealer Search,dealer-search.dealer-1,1.86,9.39,3.54,198,27,4.9,dealership locations,37.66,50,2.67,0.02,"18-24, Female",Frequent Buyer,2023-01-27
1191,924,6.34,53.1,2,3.39,Car Configurator,car-configurator.start,4.56,3.17,0.9,115,5,4.2,dealership locations,22.03,43,3.3,0.03,"25-34, Male",Frequent Buyer,2023-01-04
1390,793,4.73,43.98,5,1.96,Car Configurator,car-configurator.step-1,2.16,7.69,3.03,79,26,3.4,new car models,28.46,70,3.76,0.08,"35-44, Female",Returning Visitor,2023-01-14
1188,1190,4.71,46.26,4,4.36,Car Configurator,car-configurator.start,2.8,8.89,3.69,121,18,4.6,new car models,23.56,95,3.65,0.06,"25-34, Male",Returning Visitor,2023-01-17
1185,1191,5.92,52.3,3,4.12,Brandportal,brandportal.skoda-model-1,1.56,8.64,4.17,52,29,4.7,car pricing,41.97,57,1.96,0.06,"35-44, Female",New Visitor,2023-01-01
1205,1144,7.52,37.65,5,1.44,Inventory Check,car-configurator.step-1,4.46,6.57,1.11,52,10,3.8,new car models,49.27,61,3.36,0.1,"35-44, Female",Frequent Buyer,2023-01-29
1362,911,8.66,48.87,2,4.47,Dealer Search,brandportal.skoda-model-1,1.27,5.04,3.47,52,25,4.7,new car models,25.03,56,1.4,0.02,"35-44, Female",Returning Visitor,2023-01-18
1337,762,5.93,41.42,5,1.88,Inventory Check,brandportal.skoda-model-2,2.94,7.23,1.64,112,13,3.5,new car models,45.42,96,1.23,0.01,"18-24, Female",New Visitor,2023-01-03
1415,723,4.99,61.24,1,2.88,Inventory Check,brandportal.skoda-model-1,2.68,8.76,4.46,165,10,4.7,new car models,44.54,44,2.19,0.06,"18-24, Female",New Visitor,2023-01-10
899,769,6.79,50.81,1,2.98,Car Configurator,inventory-check.booking,1.25,7.89,1.76,111,6,4.4,new car models,48.88,77,2.01,0.1,"25-34, Male",Returning Visitor,2023-01-05
1258,884,9.79,62.75,4,1.59,Dealer Search,inventory-check.skoda-model-1,4.38,2.67,0.53,132,6,4.1,car pricing,49.52,93,2.45,0.04,"18-24, Female",Returning Visitor,2023-01-25
816,1046,6.27,44.31,5,2.21,Car Configurator,car-configurator.finish,2.04,5.78,4.44,148,23,4.7,dealership locations,33.74,43,1.69,0.03,"35-44, Female",Returning Visitor,2023-01-23
929,1021,7.93,65.37,1,1.48,Inventory Check,car-configurator.start,4.25,1.5,0.79,177,6,3.6,new car models,48.13,91,1.04,0.06,"35-44, Female",Frequent Buyer,2023-01-11
937,728,4.29,37.68,2,2.61,Car Configurator,dealer-search.finish,2.4,9.08,0.96,162,17,4.1,new car models,37.86,51,3.37,0.07,"25-34, Male",Frequent Buyer,2023-01-16
1425,745,6.75,45.48,1,4.28,Car Configurator,brandportal.skoda-model-2,2.46,1.69,2.08,88,28,4.5,new car models,20.53,89,2.12,0.1,"25-34, Male",Frequent Buyer,2023-01-16
809,778,4.86,33.4,1,3.37,Inventory Check,dealer-search.finish,3.63,9.57,1.93,61,12,4.1,car pricing,46.34,49,2.61,0.05,"25-34, Male",New Visitor,2023-01-24
1039,1123,9.22,44.66,1,3.58,Car Configurator,car-configurator.step-2,3.55,7.67,2.96,79,6,3.3,new car models,38.87,81,2.74,0.03,"18-24, Female",Returning Visitor,2023-01-08
1171,951,8.04,24.06,5,4.47,Inventory Check,car-configurator.step-1,3.84,1.44,3.12,110,29,4.1,dealership locations,42.12,68,3.96,0.03,"18-24, Female",New Visitor,2023-01-07
1338,1123,3.68,61.46,1,2.66,Dealer Search,car-configurator.step-2,3.46,1.21,3.86,136,6,3.6,car pricing,27.08,48,2.5,0.03,"18-24, Female",Returning Visitor,2023-01-14
1289,999,3.58,46.12,3,1.74,Brandportal,brandportal.finish,4.91,4.82,3.94,136,10,3.9,dealership locations,49.11,58,3.28,0.02,"35-44, Female",New Visitor,2023-01-12
1292,944,9.09,55.7,4,4.54,Brandportal,brandportal.skoda-model-1,1.81,9.07,1.64,178,11,4.5,car pricing,29.1,83,1.75,0.08,"25-34, Male",New Visitor,2023-01-14
1452,1146,7.78,54.26,3,4.39,Car Configurator,car-configurator.step-2,4.29,7.69,4.57,181,24,3.7,car pricing,39.0,90,2.06,0.06,"18-24, Female",New Visitor,2023-01-17
1101,770,6.3,22.21,1,3.2,Inventory Check,brandportal.skoda-model-1,2.48,7.65,4.65,65,25,3.6,car pricing,42.54,68,2.11,0.07,"35-44, Female",Frequent Buyer,2023-01-20
1153,1012,7.79,37.29,5,4.82,Car Configurator,car-configurator.step-1,4.25,5.74,2.74,182,21,3.5,new car models,49.37,40,2.39,0.04,"18-24, Female",New Visitor,2023-01-05
1161,1145,9.32,68.57,5,3.2,Dealer Search,car-configurator.finish,3.36,8.66,4.87,66,25,4.3,new car models,43.1,91,3.23,0.08,"25-34, Male",New Visitor,2023-01-23
1373,757,4.97,20.7,5,2.86,Inventory Check,brandportal.skoda-model-2,4.59,7.41,2.36,72,16,4.6,car pricing,35.62,72,3.98,0.07,"35-44, Female",Returning Visitor,2023-01-19
1370,959,3.05,24.67,2,2.73,Dealer Search,dealer-search.dealer-2,4.89,2.14,2.18,149,18,4.6,dealership locations,49.87,73,2.75,0.02,"18-24, Female",Frequent Buyer,2023-01-01
1363,971,3.09,42.64,1,3.52,Inventory Check,brandportal.finish,2.71,2.89,1.56,97,12,3.3,car pricing,24.78,87,2.79,0.04,"18-24, Female",Frequent Buyer,2023-01-07
1089,926,3.8,21.07,1,3.73,Dealer Search,dealer-search.dealer-2,2.28,5.22,0.9,130,5,4.7,dealership locations,24.0,52,3.28,0.08,"18-24, Female",Returning Visitor,2023-01-28
1437,748,6.92,24.1,2,3.59,Car Configurator,car-configurator.start,2.7,6.43,1.11,97,19,3.6,car pricing,35.14,85,1.54,0.09,"35-44, Female",Frequent Buyer,2023-01-14
970,791,8.67,49.16,5,4.66,Brandportal,inventory-check.booking,1.15,2.6,3.01,192,22,3.6,new car models,32.99,97,3.01,0.03,"25-34, Male",New Visitor,2023-01-11
1260,1023,8.64,59.07,1,1.69,Brandportal,inventory-check.booking,1.75,2.17,3.86,184,21,3.6,new car models,33.71,52,2.36,0.05,"35-44, Female",New Visitor,2023-01-22
1298,836,8.24,27.33,5,3.63,Brandportal,inventory-check.booking,1.72,3.54,2.68,69,23,3.1,dealership locations,25.8,59,3.8,0.05,"25-34, Male",New Visitor,2023-01-25
1468,773,7.67,60.96,5,1.2,Brandportal,brandportal.skoda-model-1,1.25,8.06,2.04,59,23,4.3,car pricing,21.14,85,2.64,0.01,"25-34, Male",New Visitor,2023-01-20
838,837,7.45,32.03,1,1.54,Car Configurator,car-configurator.step-1,2.58,1.09,4.8,185,26,3.8,dealership locations,25.3,74,1.68,0.09,"35-44, Female",Frequent Buyer,2023-01-01
1084,887,4.67,43.01,3,4.35,Brandportal,dealer-search.dealer-2,3.43,8.02,0.92,194,26,3.0,car pricing,27.33,88,3.61,0.06,"35-44, Female",New Visitor,2023-01-27
1326,1161,5.61,64.15,3,4.41,Car Configurator,inventory-check.skoda-model-1,4.43,7.16,2.53,109,28,3.2,new car models,40.44,49,1.47,0.01,"18-24, Female",Returning Visitor,2023-01-13
1195,958,9.08,50.12,2,4.1,Car Configurator,car-configurator.step-2,4.88,5.11,3.38,91,24,5.0,new car models,48.5,67,3.47,0.07,"25-34, Male",Returning Visitor,2023-01-26
954,966,7.38,38.92,4,4.43,Brandportal,car-configurator.step-1,2.53,8.7,4.87,171,30,4.6,new car models,38.87,65,3.14,0.03,"18-24, Female",New Visitor,2023-01-05
1241,1055,9.32,23.07,5,3.94,Dealer Search,car-configurator.start,3.74,7.46,1.22,122,18,3.5,dealership locations,31.28,49,3.56,0.06,"35-44, Female",New Visitor,2023-01-09
1061,1042,7.72,66.89,3,4.87,Dealer Search,car-configurator.step-1,1.2,2.78,4.2,113,19,3.6,car pricing,26.49,75,3.14,0.09,"18-24, Female",Returning Visitor,2023-01-07
1098,1129,3.71,21.51,2,3.73,Brandportal,car-configurator.step-2,4.68,6.17,0.82,151,15,4.3,new car models,22.03,43,3.19,0.09,"35-44, Female",New Visitor,2023-01-12
1393,1020,9.77,61.27,2,3.29,Inventory Check,dealer-search.finish,4.18,2.19,4.27,143,8,3.2,car pricing,37.0,42,1.9,0.06,"35-44, Female",Frequent Buyer,2023-01-17
812,1179,8.01,48.13,4,2.98,Dealer Search,inventory-check.skoda-model-2,1.01,3.1,3.46,52,26,3.9,new car models,39.04,48,3.48,0.05,"25-34, Male",New Visitor,2023-01-19
